,"3/24/16
Sherman Creek North,
March 24, 2016","May Monitoring
Anable Basin,
May 12, 2016","2016-01
Transmitter Park,
May 27, 2016","4Ah
BCS,
June 14, 2016","Baseline Spats and Site
ORS 4 tagged spat,
June 23, 2016","June 24 2016
Pier A,
June 24, 2016","Day 1 Data Collection
Tarrytown Boat Club,
July 6, 2016","Maritime Adventure 01
SUNY Maritime College - McMurray Hall East,
July 7, 2016","2016-02
Transmitter Park,
July 9, 2016","7/12/16 - Pier 40
Pier 40,
July 11, 2016","7/17/16
Bearbower,
July 17, 2016","7/19/16 - Pier 26
Pier 26,
July 19, 2016","Day 2 Data Collection
Tarrytown Boat Club,
July 20, 2016","Maritime Adventure 02
SUNY Maritime College - McMurray Hall East,
July 21, 2016","July 23, 2016
61st & John Finley Walk,
July 23, 2016","Yonkers Day 1 Data Collection
Science Barge,
July 31, 2016","8/2/16 - Pier 84
Pier 84,
August 2, 2016","Day 3 Data Collection
Tarrytown Boat Club,
August 4, 2016","Maritime Adventure 03
SUNY Maritime College - McMurray Hall West,
August 4, 2016","2016-08-06 Monitoring
Katy's Cage on Brooklyn Barge,
August 6, 2016","August Monitoring
Anable Basin,
August 8, 2016","8/9/16 - Pier 40
Pier 40,
August 9, 2016","August 14 2016
Pier A,
August 13, 2016","Yonkers Day 2
Science Barge,
August 14, 2016","Day 4 Data Collection
Tarrytown Boat Club,
August 18, 2016","Yonkers Day 3
Science Barge,
August 28, 2016","The Hewitt School- 78th and the East River
Test Station,
August 30, 2016","Tarrytown Day 5
Tarrytown Boat Club,
September 2, 2016","2016-09-04 Monitoring
Katy's Cage on Brooklyn Barge,
September 4, 2016","bearbower2
Bearbower,
September 4, 2016","Sept 2016
L+N Oysters,
September 10, 2016","2016-03
Transmitter Park,
September 17, 2016","September Pier 40
Pier 40,
September 20, 2016","Yonkers September 24
Science Barge,
September 24, 2016","Day 6 Tarrytown
Tarrytown Boat Club,
September 25, 2016","Expedition 1
Whole Foods Gowanus (MS51),
October 7, 2016","WFC- Baseline
The WaterFront Center,
October 10, 2016","First Expedition
GHS ORS,
October 11, 2016","Day 7 Tarrytown
Tarrytown Boat Club,
October 12, 2016","EXPEDITION #1 7A
IS 281 Joe Gulino,
October 13, 2016","October Oyster Monitoring
IS 288 ORS,
October 13, 2016","APES CURTIS HS 1
CURTIS HS,
October 13, 2016","10/14/16 - Pier 26
Pier 26,
October 14, 2016","Yonkers Day 5
Science Barge,
October 15, 2016","2016-10-16 Monitoring
Katy's Cage on Brooklyn Barge,
October 16, 2016","10/17/16 - Pier 84
Pier 84,
October 17, 2016","PS 71
SUNY Maritime College - McMurray Hall East,
October 17, 2016","PS 71 - McMurray Hall (East) Trip #1
SUNY Maritime McMurray Hall East,
October 17, 2016","Team Leaders
East Harlem,
October 19, 2016","Our first trip!
McKinney Oysters,
October 19, 2016","October Pier 40
Pier 40,
October 20, 2016","Whole Foods visit 1
Whole Foods Esplanade (MS 88 #2),
October 21, 2016","ISLA 601
Sherman Creek South,
October 21, 2016","October 23, 2016
Pier A,
October 23, 2016","PS 71
SUNY Maritime College - McMurray Hall East,
October 26, 2016","PS 71 - McMurray Hall (East) Trip #2
SUNY Maritime McMurray Hall East,
October 26, 2016","2106-04
Transmitter Park,
October 30, 2016","WP ORS Data Collection FALL 2016.1
Williamsburg Prep ORS,
November 1, 2016","Day 8 Tarrytown
Tarrytown Boat Club,
November 3, 2016","Yonkers Day 6
Science Barge,
November 6, 2016","TYWLS Expedition 1
Astoria TYWLS ORS,
November 9, 2016","November 11, 2016
Berkeley Carroll 4th Graders,
November 11, 2016","Expedition 1
The Brooklyn Pearl,
November 11, 2016","Yonkers Day 7
Science Barge,
November 13, 2016","TYWLS Expedition 2
Astoria TYWLS ORS,
November 16, 2016","Full Class Fall Trip
East Harlem,
November 17, 2016","November 2016
PS/MS 188,
November 17, 2016","PS 71
SUNY Maritime College - McMurray Hall East,
November 23, 2016","PS 71
SUNY Maritime College - McMurray Hall West,
November 23, 2016","PS 71 - McMurray Hall (East) Trip #3
SUNY Maritime McMurray Hall East,
November 23, 2016","PS 71- McMurray Hall (WEST) Trip #3
SUNY Maritime McMurray Hall West,
November 23, 2016","Second Expedition
GHS ORS,
November 29, 2016","November Pier 40
Pier 40,
December 1, 2016","Sherman Creek Park 2
Sherman Creek South,
December 2, 2016","Winter 1
East Harlem,
December 8, 2016","789 Monitoring Kaiser Site at 22nd street
IS 288 ORS,
December 9, 2016","Cold Cold Cold
IS 288 ORS,
January 27, 2017","January 2017
ORS 4 tagged spat,
January 27, 2017","Eels and Shrimp
IS 288 ORS,
March 21, 2017","Spring 2017 Trip 1
Williamsburg Prep ORS,
March 29, 2017","Spring Trip March '17
CURTIS HS,
March 30, 2017","Early Spring
East Harlem,
April 3, 2017","PS 71 McMurray Hall East Trip #4
SUNY Maritime McMurray Hall East,
April 5, 2017","TYWLS Expedition 3 (6-1)
Astoria TYWLS ORS,
April 6, 2017","Bop 6
Rye Boat Basin,
April 6, 2017","2017-0410 Setup-ORS since Lost
West Harlem Piers - Tentative,
April 10, 2017","TYWLS Expedition 4 (7-2)
Astoria TYWLS ORS,
April 20, 2017","Spring 2017 Trip 2
Williamsburg Prep ORS,
April 20, 2017","Expedition 2
Whole Foods Gowanus (MS51),
April 20, 2017","Sherman Creek 3
Sherman Creek South,
April 21, 2017","ORS TRIP 2 7A
IS 281 Joe Gulino,
April 24, 2017","Expedition 3
Whole Foods Gowanus (MS51),
April 27, 2017","LIC#C-17-04
Anable Basin,
April 27, 2017","April 2017
Pier 40,
April 27, 2017","Yonkers April 2017
Science Barge,
April 29, 2017","April 29 2017
Pier A,
April 29, 2017","May Oyster Monitoring
Little Hell Gate Inlet,
May 10, 2017","PS 71 McMurray Hall West Trip #5
SUNY Maritime McMurray Hall West,
May 10, 2017","PS 71 McMurray Hall East Trip #5
SUNY Maritime McMurray Hall East,
May 10, 2017","TYWLS Expedition 5 (7 - 1)
Astoria TYWLS ORS,
May 10, 2017","Spring 2017 Trip 3
Williamsburg Prep ORS,
May 10, 2017","BEAUTIFUL DAY 1
IS 281 Joe Gulino,
May 11, 2017","Expedition 4
Whole Foods Gowanus (MS51),
May 11, 2017","Third Expedition
GHS ORS,
May 16, 2017","Oyster Data Collection 5/16
I.S. 259,
May 16, 2017","HOT HOT HOT
East Harlem,
May 18, 2017","Shooting Stars Week
IS 288 ORS,
May 19, 2017","The Hewitt School Expedition 2
The Hewitt School Restoration site,
May 19, 2017","Concrete Jungle Oyster Expedition #1
79th St Boat Basin Station #1,
May 24, 2017","Sherman Creek 4
Sherman Creek South,
May 30, 2017","SOF Baseline 5/30/17
SOFuture ORS,
May 30, 2017","Class 600 McKinley 5/31/2017
I.S. 259,
May 31, 2017","6/1/17 Visit 1
Bush Terminal MS88,
June 1, 2017","Spring 2017 Trip 4
Williamsburg Prep ORS,
June 1, 2017","LIC#C-17-06
Anable Basin,
June 1, 2017","June 2nd 6 graders
East Harlem,
June 2, 2017","Fourth Expedition
GHS ORS,
June 2, 2017","6/4/17
Bearbower,
June 4, 2017","PBS Newshour Edition
East Harlem,
June 16, 2017","Summer Expedition #1
The Brooklyn Pearl,
June 18, 2017","SUNY Maritime Adventure Boat Camp, June 21st (Training Week)
SUNY Maritime Waterfront,
June 21, 2017","June Oyster Monitoring
Little Hell Gate Inlet,
June 22, 2017","Baseline Expedition
Derekh's Wallabout,
June 25, 2017","June 2017
Pier 40,
June 26, 2017","Baseline
The Climate Mobilization And Resilience Paddle Sports ORS,
June 29, 2017","2017-07-01 Monitoring
Katy's Cage on Brooklyn Barge,
July 1, 2017","Eco-Rangers Visit #1 (Baseline)
79th St Boat Basin Station #2,
July 13, 2017","July 2017
Pier 40,
July 18, 2017","July Oyster Monitoring
Little Hell Gate Inlet,
July 19, 2017","SUNY Maritime Adventure Boat Camp 2017, July 6th (1st Session)
SUNY Maritime Waterfront,
July 25, 2017","SUNY Maritime Adventure Boat Camp 2017, July 20th (2nd Session)
SUNY Maritime Waterfront,
July 25, 2017","2017-08-12 Monitoring
Katy's Cage on Brooklyn Barge,
August 12, 2017","Aug 12 2017 - Bearbower
Bearbower,
August 12, 2017","August 2017
Pier 40,
August 22, 2017","August Oyster Monitoring
Little Hell Gate Inlet,
August 30, 2017","Steven BBP Oyster Data
UCC,
August 31, 2017","September Session
Gantry Plaza Fishing Pier,
September 7, 2017","Test
BOP Pier 101,
September 12, 2017","2017-09-16 Monitoring
Katy's Cage on Brooklyn Barge,
September 16, 2017","September Oyster Monitoring
Little Hell Gate Inlet,
September 19, 2017","2017-0928 Climate Week NYC Baseline
Baylander #16,
September 28, 2017","1st Expedition - Year 2
GHS ORS,
September 28, 2017","Visit #1
Pelham Preparatory Academy,
October 12, 2017","Team Leaders Early Fall 2017
East Harlem,
October 18, 2017","Fall 2017
The Brooklyn Pearl,
October 21, 2017","10/22/17
Bearbower,
October 22, 2017","Pd.2 APES
CURTIS HS,
October 25, 2017","Weirdy Fish
IS 288 ORS,
October 26, 2017","Fall 2017 Trip 1
Williamsburg Prep ORS,
October 26, 2017","2017-10-28 Monitoring
Katy's Cage on Brooklyn Barge,
October 28, 2017","2017-1028 First measurement of new oysters
Baylander #16,
October 28, 2017","November 2017
Pier 40 Cage #2,
November 7, 2017","701 Early November
East Harlem,
November 15, 2017","No-Admin Test Expedition 2
Pier 101,
November 30, 2017","test 3
Pier 101,
December 7, 2017","McClancy Replacement Cage
McClancy2,
December 12, 2017","Sub Zero
IS 288 ORS,
December 20, 2017","New Baseline with Gus and Maddox (and Sam) (and a weird old man)
OystersOfICE-2,
December 22, 2017","Test for Maintenance
BOP Test Station,
December 26, 2017","Rude Fake Cop
OystersOfICE-2,
January 19, 2018","SNOWYSTERS
IS 288 ORS,
February 7, 2018","Visit #2
Pelham Preparatory Academy,
February 16, 2018","Marine Bio class testing
Hewitt School- new station,
March 9, 2018","2nd Expedition - Year 2
GHS ORS,
March 29, 2018","first spring expedition
Kimberly-Earth School,
April 10, 2018","April 2018
Pier 40 Cage #2,
April 26, 2018","Class 616 McKinley 5/8/2018
IS 259 McKinley II,
May 8, 2018","Spring 2018 Trip 1
Williamsburg Prep ORS,
May 10, 2018","Expedition 5
Whole Foods Gowanus (MS51),
May 10, 2018","2018-0519 Baylander 16
Baylander #16,
May 19, 2018","Expedition 6
Whole Foods Gowanus (MS51),
May 24, 2018","Curtis High School 05/25/2018
CURTIS HS,
May 25, 2018","Marine Bio class testing
Hewitt School- new station,
May 25, 2018","Spring 2018 Trip 2
Williamsburg Prep ORS,
May 29, 2018","First Expedition Station 18
Station 188,
June 14, 2018","First Expedition Station 190
Station 190,
June 14, 2018","First Expedition Station 192
Station 192,
June 14, 2018","First Expedition Station 189
Station 189,
June 14, 2018","First Expedition Station 191
Station 191,
June 16, 2018"
Submerged depth of cage (m),10,1,1.2,3,3,1.165,2.286,0.5,1,1,3,1,2.286,2,3,3.048,1,7.8,3,1.8,1,1,3.37,0.9290304,2.286,2.048,4.57,2.048,1.83,3,2,2,3.11,1,2.2086,2,2,1.8288,2.2086,4,2,7,1,1,1.22,1,1.6,1.64,6,5,3.11,2,7,2.29,2.5,2,2,1.67,2.0864,2,5,3,1,1,5,94,5,3,,1.5,2.5,2.75,3.11,6,97,3,7.01,1.65,23,1.07,7,112,2,5,1,105,3.5,0.8,2,8,3,2,,3.11,,2,1,2.5,2.5,1.5,0.7,9,2,6,1.11,1.12,1.5,4.9,1.32,7,1,1.33,0.5,1.2,,3,2.3622,8,145,1,2,1.5,1,3.11,2,1.8,1.98,3.11,,2,2,1.8,5,3.11,1,3.048,2.5,,1.8,1.5,1.9,2.159,1,12,1,3,0,4,3.7,2,3,3.11,,,,1,9,1,,1,9,,0.95,0,,,,,,,,,,,,,,,
Set date,,4/13/2016,7/6/2016,6/13/2016,,8/13/2016,7/14/2015,3/5/2016,7/6/2016,11/20/2015,10/22/2017,7/11/2015,7/14/2015,3/5/2016,7/23/2016,7/15/2015,7/13/2015,7/14/2015,7/14/2015,8/15/2015,4/13/2016,11/20/2015,8/13/2016,7/15/2015,7/14/2015,7/15/2015,,7/14/2015,8/15/2015,10/22/2017,1/1/1970,7/6/2016,6/19/2016,7/15/2015,7/14/2015,3/10/2017,7/14/2015,11/17/2016,7/14/2015,,2/1/2017,12/27/1969,7/11/2015,7/15/2015,8/15/2015,7/13/2015,3/5/2016,,5/16/2016,,6/19/2016,11/3/2016,10/20/2016,8/13/2016,3/5/2016,,7/6/2016,8/7/2016,7/14/2015,7/15/2015,7/31/2015,,,7/15/2015,7/31/2015,5/16/2016,,3/5/2016,,7/14/2015,11/17/2016,6/19/2016,10/20/2016,5/16/2016,2/1/2017,2/1/2017,,2/1/2017,8/7/2016,12/27/1969,5/16/2016,,7/31/2015,7/15/2015,,7/31/2015,8/7/2016,3/10/2017,10/20/2016,,3/10/2017,4/13/2016,6/19/2016,7/15/2015,8/13/2016,6/14/2016,7/14/2015,,7/31/2015,8/7/2016,,3/10/2017,11/17/2016,7/15/2015,5/16/2016,2/1/2017,,,10/20/2016,8/1/2015,7/15/2015,8/15/2015,8/7/2016,4/13/2016,5/16/2016,11/17/2016,10/22/2017,5/16/2016,,,6/14/2016,,,,8/15/2015,7/25/2017,,6/14/2016,,,8/15/2015,10/22/2017,,6/14/2016,,9/23/2017,8/14/2015,8/15/2015,6/14/2016,4/8/2016,11/17/2016,,5/16/2016,,10/22/2017,12/27/1969,2/1/2017,8/7/2016,8/15/2015,4/8/2016,5/28/2018,5/16/2016,,,2/1/2017,3/10/2017,3/10/2017,2/1/2017,,5/26/2016,11/17/2016,,5/28/2018,5/23/2018,8/7/2016,3/10/2017,4/8/2016,3/10/2017,12/27/1969,5/26/2016,8/7/2016,3/9/2017,3/9/2017,3/9/2018,3/9/2017,3/10/2017,,,
Source,,unk,"Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",oyster garden,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",unk,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Hudson River, New York","Muscongus Bay, Maine","Muscongus Bay, Maine",Erie Basin,"Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Hudson River, New York","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",,"Hudson River, New York","Muscongus Bay, Maine","Bronx River, New York","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",East River,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",,"Muscongus Bay, Maine",Wallabout Channel,"Hudson River, New York","Bronx River, New York","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",East River,"Hudson River, New York","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",East River,Erie Basin,"Bronx River, New York",,Erie Basin,unk,"Hudson River, New York","Muscongus Bay, Maine","Muscongus Bay, Maine",Unknown,"Muscongus Bay, Maine",,"Muscongus Bay, Maine",East River,,Erie Basin,Wallabout Channel,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Bronx River, New York","East River, New York","Muscongus Bay, Maine","Muscongus Bay, Maine",East River,unk,"Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine","Muscongus Bay, Maine",,,Unknown,,,,"Muscongus Bay, Maine","Muscongus Bay, Maine",,Unknown,,,"Muscongus Bay, Maine","Muscongus Bay, Maine",,Unknown,,"Fishers Island, New York","Muscongus Bay, Maine","Muscongus Bay, Maine",Unknown,"Fishers Island, New York",Wallabout Channel,,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Hudson River, New York","Muscongus Bay, Maine",East River,"Muscongus Bay, Maine","Fishers Island, New York","Hudson River, New York","Muscongus Bay, Maine",,,"Muscongus Bay, Maine",Erie Basin,Erie Basin,"Muscongus Bay, Maine",,"Muscongus Bay, Maine",Wallabout Channel,,"Hudson River, New York","Muscongus Bay, Maine",East River,Erie Basin,"Fishers Island, New York",Erie Basin,"Hudson River, New York","Muscongus Bay, Maine",East River,Eerie Basin,Eerie Basin,Eerie Basin,"OG/ORS, Broodstock","OB/ORS, Broodstock",,,
Total number of live oysters at baseline,,5,5,,,3,3,1,5,5,4,,3,1,,,,3,6,2,5,5,3,,3,,,3,2,4,7,5,9,,3,,14,4,3,,0,2,,,2,,1,,4,,9,4,9,3,1,,5,2,3,,21,,,,21,4,,1,,0,4,9,9,4,0,0,,0,2,2,4,,21,,,21,2,,9,,,5,9,,3,,0,,21,2,,,4,1,4,0,,,9,1,1,16,2,5,4,4,4,4,,,,,,,2,4,,,,,2,4,,,,4,5,2,,,4,,4,,4,2,0,2,2,,,4,,,0,5,5,0,,,4,,,,2,,,,2,,2,4,5,2,4,6,,,
Total mass of live oysters at baseline (g),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,41,,,75.9,,,,,,,,1.5,,,16.8,5,,,,,18,,,6.3,,,,6.3,1.5,,,,0,41,,5,1.5,75.9,75.9,,75.9,18,,1.5,,6.3,,,6.3,18,,5,,,,,,,,0,,6.3,18,,,41,,1.5,75.9,,,5,47,,34,18,,1.5,41,1,1.5,,,,,,,,74.4,,,,,,1,,,,37.6,47,,,,41,,1.5,,1,,75.9,18,,,,1.5,,,75.9,45.7,45.7,75.9,,,41,,,,18,,,,,,18,46,134,53,28,45,,,
Total number of live oysters on shell,6,5,9,0,7,3,3,1,5,6,8,11,3,1,10,16,6,3,6,2,3,5,1,16,3,18,1,3,2,0,0,1,6,8,3,2,14,10,3,0,1,2,2,9,2,0,0,0,3,4,5,4,6,1,10,10,1,7,3,8,1,5,2,8,0,4,3,9,9,0,7,5,0,3,2,2,0,1,3,4,2,2,21,5,0,35,0,2,10,0,2,1,4,10,4,4,1,2,28,0,0,2,6,1,2,1,2,4,10,2,2,16,0,3,0,8,12,2,2,4,4,18,4,4,1,4,3,4,0,0,0,6,3,4,9,4,0,0,4,3,4,2,0,2,4,0,0,2,1,3,6,2,0,3,0,8,0,0,2,4,0,4,4,5,3,5,2,1,2,1,3,4,5,2,4,6,,,
Total mass of scrubbed substrate shell + oysters + tag (g),20,1,,,,,,0,0,,23,,,0,,,,0,0,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,156,1.62,0,0,0,0,89.7,0,0,0,0,0,70,0,0,16.8,7,0,0,89.94,0,1.83,0,0,64.7,1,1.34,0,64.7,84.9,3,0,0,0,71,0,0,77.9,198.7,159.5,0,75.9,41,0,54,0,63,0,0,62.2,,0,0,0,0,0,5,0,0,0,0,0,90,0,0,52.5,59,31,0,75.9,2,150.1,0,68.6,34,34,0,0,0,56,0,59,1.23,0,0,31.4,0,83.91459,0,74.4,0,0,0,0,0,6,0,0,121.1,37.6,0,0,0,58.7,43,0,0,63,1,0,0,18,0,60.5,0,89,0,0,0,119,0,0,44.3,17.5,0,0,0,39,15,0,51,12.4,0,17.8,27,46,134,53,28,45,,,
Measurements (mm),"11,8,10,9,9,11","21,26,9,7,22","25,15,15,20,23,21,32,26,20",,"35,22,34,36,25,26,38","22,10,20","27,22,19",24,"30,45,45,40,35","21,43,38,30,28,37","20,20,20,30,2,2,2,4","19,30,23,20,36,33,38,35,42,32,34","29,35,27",20,"29,35,32,35,32,40,26,36,30,23","40,37,27,32,26,40,33,18,32,24,31,20,18,18,35,40","6,8,23,35,20,5","29,40,32","24,17,31,28,28,26","30,22","35,24,17","37,45,34,31,33",3.9,"19,30,34,38,42,35,35,30,30,41,22,30,23,25,38,44","40,37,33","33,37,25,39,33,50,44,40,27,26,39,33,41,22,25,27,46,43",28,"41,44,35","24,41",,,45,"83.1,26.3,42.8,63.5,39.6,21.7","35,41,48,55,52,58,33,31","42,46,40","61.51,43.61","11,40,22,38,64,66,30,27,45,44,47,38,55,26","43,20,12,35,22,25,30,20,26,19","46,40,42",,64,"35.32,42.5","51,66","43,54,40,51,47,56,52,35,40","52,39",,,,"68,51,50","63,59,30,21","89.4,44,39.6,43.3,65.1","15,19,21,13","2.4,3.1,2,1.5,2.7,1.7",5.4,"65,40,50,25,20,30,25,25,20,20","65,42,51,25,22,30,25,25,24,19",35,"3,25,15,21,34,43,19","48,39,43","39,45,55,57,51,40,39,49",99999,"36,45,60,40,20","40,35","36,45,54,57,56,49,44,40",,"65.6,58.2,67,42.5","3,4,3.5","40,25,55,30,25,70,20,20,20","40,25,55,30,25,70,20,25,20",,"50,30,35,45,30,20,30","60.5,50.3,48.7,92,41.4",,"62.2,70.9,55","80,70","57,83",,75,"30,30,40","25,26,63,43","60,51","65,30","28,23,20,20,20,20,15,21,18,8,18,15,17,13,16,20,10,17,25,15,23","80,67,46,51,53",,"29,16,21,7,9,18,2,25,27,26,8,9,5,16,19,13,20,3,12,19,7,6,6,12,22,10,10,7,11,21,20,24,9,24,14",,"76.9,89.3","5.7,4.5,4.9,2.8,7,3.2,4.8,4.5,4.5,2.9",,"45.64,61.94",50,"93,24.5,48.2,48.6","39,49,35,45,59,55,40,43,45,50","56,57,32,19","41.1,38.1,20.5,29.1",,"66,30","3,3,4,5,5,10,10,10,10,15,10,10,25,25,25,30,32,30,25,20,20,20,20,15,15,18,17,15",,,"44.8,58.31","5,2,2,2,4.75,3.5",72,"55.9,57.8",73,"55,30","92,57,87,50","2,3.9,4.4,2.1,3.5,4.2,3.4,3.5,5.6,4.7","47.5,40","69,10","7.2,10.1,12.4,9.2,7.8,9.7,7,7.8,7.6,11,7.7,4.8,5.3,3.2,11,11.9",,"48,48,27",,"2,3,1.9,2,1,1.5,1.7,3","50,35,20,50,35,70,25,15,35,20,40,40","50.2,56.9","40,40","41,35,24,8","40,38,23,23","11,11,11,11,11,11,11,11,11,11,6,6,6,6,16,23,17,10","55,63.3,91,57.4","6.4,3.5,4.6,4.9",47,"30,26,27,41","100.5,60.9,40.3","39,37.8,29,24",,,,"40,65,25,50,80,60","106.5,74.3,63.7","42,41,26.5,23.5","65,48,32,29,60,38,53,37,38","49,45,18,19",,,"45.5,41,27,25.5","37,41,29","35,25,35,41","43,32",,"55,50","34,44,71,91",,,"17,15",43,"46,31,41","58.5,55.4,54,56.7,50.5,59","58,65",,"55,45,35",,"81,61,51,58,23,12,26,51",,,"36,39","30,25,35,36",,"37,40,30,15","99.7,66.1,118.8,91","26,30,12,17,21","8,29,21","28,30.1,11.5,17,17","35,29",12.4,"29,25.93",30,"38,19,22","31,16,20,20","39,11,20,20,25","20,17","47,51,26,25","26,20,21,15,19,15",,,
Minimum size of live oysters (mm),8,7,15,,22,10,19,24,30,21,2,19,27,20,23,18,5,29,17,22,17,31,3.9,19,33,22,28,35,24,,0,45,21.7,31,40,43.61,11,12,40,,64,35.32,51,35,39,0,0,0,50,21,39.6,13,1.5,5.4,20,19,35,3,39,39,99999,20,35,36,0,42.5,3,20,20,,20,41.4,,55,70,57,,75,30,25,51,30,8,46,,2,0,76.9,2.8,,45.64,50,24.5,35,19,20.5,0,30,3,,,44.8,2,72,55.9,73,30,50,2,40,10,3.2,,27,,1,15,50.2,40,8,23,6,55,3.5,47,26,40.3,24,,,0,25,63.7,23.5,29,18,,47,25.5,29,25,32,0,50,34,,,15,43,31,50.5,58,,35,,12,,0,36,25,0,15,66.1,12,8,11.5,29,12.4,25.93,30,19,16,11,17,25,15,,,
Maximum size of live oysters (mm),11,26,32,,38,22,27,24,45,43,30,42,35,20,40,40,35,40,31,30,35,45,3.9,44,40,50,28,44,41,,0,45,83.1,58,46,61.51,66,43,46,,64,42.5,66,56,52,0,0,0,68,63,89.4,21,3.1,5.4,65,65,35,43,48,57,99999,60,40,57,0,67,4,70,70,,50,92,,70.9,80,83,,75,40,63,60,65,28,80,,29,0,89.3,7,,61.94,50,93,59,57,41.1,0,66,32,,,58.31,5,72,57.8,73,55,92,5.6,47.5,69,12.4,,48,,3,70,56.9,40,41,40,23,91,6.4,47,41,100.5,39,,,0,80,106.5,42,65,49,,47,45.5,41,41,43,0,55,91,,,17,43,46,59,65,,55,,81,,0,39,36,0,40,118.8,30,29,30.1,35,12.4,29,30,38,31,39,20,51,26,,,
